Size	MergeSort	QuickSortEnd		QuickSortMiddle
5000	0sec	    0.001sec			0.001sec
10000	0.001sec	0.002sec			0.001sec
15000	0.003sec	0.003sec			0.002sec
20000	0.003sec	0.004sec			0.002sec
25000	0.003sec	0.004sec			0.003sec
30000	0.004sec	0.005sec			0.005sec
35000	0.005sec	0.006sec			0.005sec
40000	0.006sec	0.007sec			0.006sec
45000	0.007sec	0.008sec			0.006sec
50000	0.008sec	0.011sec			0.017sec
55000	0.009sec	0.009sec			0.009sec
60000	0.009sec	0.011sec			0.009sec
65000	0.011sec	0.012sec			0.01sec
70000	0.011sec	0.013sec			0.011sec
75000	0.012sec	0.014sec			0.011sec
80000	0.012sec	0.015sec			0.011sec
85000	0.013sec	0.016sec			0.014sec
90000	0.013sec	0.017sec			0.013sec
95000	0.014sec	0.017sec			0.013sec
100000	0.015sec	0.018sec			0.015sec
